ticker,name,compositeFIGI,marketSector,securityType,securityDescription,exchangeCode,shareClassFIGI,sector,industryGroup,industry
ABBV,ABBVIE INC,BBG0025Y4RY4,Equity,Common Stock,ABBV,N/A,BBG0025Y4RZ3,N/A,N/A,N/A
ABC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABKFQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABMD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABT,ABBOTT LABORATORIES,BBG000B9ZXB4,Equity,Common Stock,ABT,N/A,BBG001S5N9M6,N/A,N/A,N/A
ABX,ABACUS GLOBAL MANAGEMENT INC,BBG00VY1KB95,Equity,Common Stock,ABX,N/A,BBG00VY1KBC1,N/A,N/A,N/A
ACAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACKH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACN,ACCENTURE PLC-CL A,BBG000D9D830,Equity,Common Stock,ACN,N/A,BBG001SCXK90,N/A,N/A,N/A
ADBE,ADOBE INC,BBG000BB5006,Equity,Common Stock,ADBE,N/A,BBG001S5NCQ5,N/A,N/A,N/A
ADCT,ADC THERAPEUTICS SA,BBG00Q6Q3QX1,Equity,Common Stock,ADCT,N/A,BBG00Q6Q3RN0,N/A,N/A,N/A
ADI,ANALOG DEVICES INC,BBG000BB6G37,Equity,Common Stock,ADI,N/A,BBG001S5ND38,N/A,N/A,N/A
ADM,ARCHER-DANIELS-MIDLAND CO,BBG000BB6WG8,Equity,Common Stock,ADM,N/A,BBG001S5ND74,N/A,N/A,N/A
ADNT,ADIENT PLC,BBG009PN0C87,Equity,Common Stock,ADNT,N/A,BBG009PN0C96,N/A,N/A,N/A
ADP,AUTOMATIC DATA PROCESSING,BBG000JG0547,Equity,Common Stock,ADP,N/A,BBG001S82KF6,N/A,N/A,N/A
ADS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADSK,AUTODESK INC,BBG000BM7HL0,Equity,Common Stock,ADSK,N/A,BBG001S5SCD4,N/A,N/A,N/A
AEE,AMEREN CORPORATION,BBG000B9X8C0,Equity,Common Stock,AEE,N/A,BBG001S5NF24,N/A,N/A,N/A
AEP,AMERICAN ELECTRIC POWER,BBG000BB9KF2,Equity,Common Stock,AEP,N/A,BBG001S5NFD2,N/A,N/A,N/A
AES,AES CORP,BBG000C23KJ3,Equity,Common Stock,AES,N/A,BBG001S6B1L5,N/A,N/A,N/A
AET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFL,AFLAC INC,BBG000BBBNC6,Equity,Common Stock,AFL,N/A,BBG001S5NGJ4,N/A,N/A,N/A
AFS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIG,AMERICAN INTERNATIONAL GROUP,BBG000BBDZG3,Equity,Common Stock,AIG,N/A,BBG001S5NJG1,N/A,N/A,N/A
AIV,APARTMENT INVT & MGMT CO -A,BBG000DD3510,Equity,REIT,AIV,N/A,BBG001S876N3,N/A,N/A,N/A
AIZ,ASSURANT INC,BBG000BZX1N5,Equity,Common Stock,AIZ,N/A,BBG001SD9DW5,N/A,N/A,N/A
AJG,ARTHUR J GALLAGHER & CO,BBG000BBHXQ3,Equity,Common Stock,AJG,N/A,BBG001S5NKC2,N/A,N/A,N/A
AKAM,AKAMAI TECHNOLOGIES INC,BBG000BJQWD2,Equity,Common Stock,AKAM,N/A,BBG001S7YHX0,N/A,N/A,N/A
AKS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALB,ALBEMARLE CORP,BBG000BJ26K7,Equity,Common Stock,ALB,N/A,BBG001S7SBP9,N/A,N/A,N/A
ALGN,ALIGN TECHNOLOGY INC,BBG000BRNLL2,Equity,Common Stock,ALGN,N/A,BBG001SCF1B9,N/A,N/A,N/A
ALK,ALASKA AIR GROUP INC,BBG000BBL0Y1,Equity,Common Stock,ALK,N/A,BBG001S5NLG6,N/A,N/A,N/A
ALL,ALLSTATE CORP,BBG000BVMGF2,Equity,Common Stock,ALL,N/A,BBG001S9BM06,N/A,N/A,N/A
ALLE,ALLEGION PLC,BBG003PS7JV1,Equity,Common Stock,ALLE,N/A,BBG003PS7JW0,N/A,N/A,N/A
ALXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMAT,APPLIED MATERIALS INC,BBG000BBPFB9,Equity,Common Stock,AMAT,N/A,BBG001S5NMM7,N/A,N/A,N/A
AMCC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMCR,AMCOR PLC,BBG00LNJRQ09,Equity,Common Stock,AMCR,N/A,BBG00LNJRQ18,N/A,N/A,N/A
AMD,ADVANCED MICRO DEVICES,BBG000BBQCY0,Equity,Common Stock,AMD,N/A,BBG001S5NN36,N/A,N/A,N/A
AME,AMETEK INC,BBG000B9XG87,Equity,Common Stock,AME,N/A,BBG001S5NN54,N/A,N/A,N/A
AMG,AFFILIATED MANAGERS GROUP,BBG000C060M4,Equity,Common Stock,AMG,N/A,BBG001S6DMD6,N/A,N/A,N/A
